author,updated_at,like_count,text
@user-dv2ns9bs6e,2023-12-30T08:37:00Z,21,開心農場噢
@OppoOPPO-bf5vg,2023-12-30T09:16:33Z,13,臺灣台不臺獨，就🉐跟中共說，那要看中共表現和中共做法。很簡單，如果不說，臺灣人也要明白。民國憲法是大陸憲法，是老蔣反攻大陸適用的憲法。如果不想反攻大陸，就修改吧，早就不適合在臺灣島用了。放進歷史吧。別再綁架臺灣人。讓中共利用
@user-mc5er6xc5r,2023-12-30T08:57:47Z,8,柯先生讚～耍嘴皮 謾罵 口才第一名。見識到了侯先生什麼叫“人不要臉，天下無敵”明明玩法弄法 ，103個門牌是人皆“能‘’之嗎？103個房子只繳了一間的稅叫‘’都有繳‘’開了一個公司處理房租只繳5%營業稅而規避了個人所得稅40%叫‘’合法‘’請問房子是公司名下的嗎？把剝皮，剝削學生叫委屈？怎麼還有臉數落真正的弱勢礦工住宅，請問你副市長及市長這一 二十年任內有去照顧到礦工這個族群嗎？你怠惰失職在先批判在後你還西大言不慚，真是冷酷你治理下的恩恩案，喂藥案，割頸少年案請給個說法～不要再說“一切合法”沒有一項合理的包括你收購新莊土地及放寬容積案，通通不合情，更不合理。
@bi-syoutsai9574,2023-12-30T11:43:31Z,8,珂珂！你真的還是需要多磨練啊！沒幾年就想選總統你這個被棄人你講的話沒人會聽。侮辱臺灣的人是國民黨添共啊！。疫情！國家做的讓全世界看見臺灣的好！口罩贏得國外很好的口碑
@user-om3pu6dk6r,2023-12-30T09:19:24Z,7,賴向候他房子99個門牌他說不出
@0073alice,2023-12-30T11:13:52Z,5,是啊…113年是新的開始。。。就是民眾黨國民黨都成泡沫。。。臺灣人渴望臺灣人的總統千萬不會是背骨愛說謊的柯文哲。。80%以上都這樣認為。。。阿猴。 。。明明就道地的臺灣人。。重點～一直說臺語說給誰聽？我是聽得懂啦…可是很多韓粉真的聽不懂啦！。謊話淹沒的是柯文哲。。。真敢說！廉恥會不會寫。。？讀書讀到哪？腳底？
@kranze3690,2023-12-30T14:08:08Z,4,"國民黨侯友宜完全無任何他的主見，只是完全照搬馬英九時代及趙少康戰鬥藍之前的主要親中親共政見，然而那些政策在馬八年時期已被證明是一個失敗及錯誤的政策！如搞內閣制、核四重啟、恢復特偵組、廢除NCC、兵役回復到4個月、九二共識、重啟服貿、開放大量陸生來臺就學就業等等親中懼共政策。以上皆是一邊倒的向中國靠攏，對臺灣及臺灣人不利之政見：承認九二共識：就是接受中共國的一中原則、一國兩制，否定臺灣主權。兵役又改回4個月：是懼共投降主義及主動弱化國防。廢除NCC：為親中紅媒鬆綁。重啟核四、延役核一核二核三：顯然與侯的原本主張相左。開放大量中生來臺就學就業：大量進口中國學生來臺工作，不但必定擠壓、搶奪臺灣二三十歲的年青人就業工作機會，也必然拉低臺灣人的就業薪資與調薪機會與幅度要快速重啟服貿：服貿本質上就是大量進口""人""，即不限學歷的中國人可來臺開各種店、公司及工作，滿4年可取得身分證，方便大陸人移民臺灣，必定壓縮及降低現有臺灣人的健保、市場、生意、利潤、與搶奪臺灣人工作機會。。民進黨及蔡英文 八年執政，做了那些事情：1.國際透明組織公佈臺灣清廉指數創下27年來最佳成績。2. 國際友人紛紛來訪、挺臺上架臺灣3.洛桑管理學院評比64國競爭力排名：臺灣由2018年17名進步至第6名，為2012年以來最佳成績。4.經濟成長四小龍之首，成為20大經濟體、GDP由105年17.5兆增至23兆、人均GDP由23091增至32811美元。5.知名財經月刊全球金融雜誌，公佈2023年全球最富裕國家，臺灣列第14位。6.亞洲第1民主自由度(經濟學人)。7.根據國際貨幣基金統計，臺灣政府債務佔 GDP 比重從 2016 年的 35.4% 降至 2022 年的 24.1% ，負債比低於韓國的 54.1%、新加坡的 141.1%。8.美國傳統基金會 公佈臺灣經濟自由度排名世界第四。9.專門評估全球犯罪指數的資料庫網站「Numbeo」公佈2023年各國「安全/犯罪指數」排名，臺灣在全球142個國家地區中名列第3。10.馬政府時臺灣對大陸依存度為45%，而2022年已降至32%。對美依存度已由7~8%升至16%11.簽訂""美臺21世紀貿易倡議""12.中央政府債務：馬政府八年共增17344億元負債，蔡政府七年舉債12160億元，但已還債7960億，2024年可再還國債1150億元，八年共還9110億元，8年共只增國債3000億元，不會債留子孫。13.中央對地方財源挹注由105年5544提高至9019億14.地方政府債務餘額由105年9023降至112年6733億15.年度結餘三年破千億，近4年稅收多10172億元16.年金改革，年改逾5年，總計挹注退撫基金款項達2200億元。17.軍公教調薪25年最高，實質提升11.4%，2024年再調升4%。公私立大專教師學術研究加給、警察、消防職務加給調升15%。18.上市櫃企業獲利是馬政府的3倍，上市櫃公司總淨利：2009~2016年1.2~1.5兆元2020年 2.46兆元2021年 4.29兆元2022年 3.98兆元2023年預估約 3兆元。19.出口由2800億成長至4800億美元2023年4300、2022年47942021年4463、2020年34512019年3291、2018年3340億美元。20.股市破萬翻倍至17500點並黃金交叉港股。21.臺商迴流超2.1兆元，外商投資臺灣超2.4兆元。22.海鯤號潛艦、塔江、武夷、玉山、輕巡防國艦國造23.66架勇鷹高教機國造、141架F16構改全數完成、新購66架F16V、108輛M1A2T、29套HIMAS……。24.義務兵役延長為1年及後備役改革25.強化臺美軍事互信、合作、協訓26.成立無人機國家隊及新設民雄航太及無人機研產園區27.1 成功安度世紀大疫情27.2 疫後振興貸款：已核准64685件、核貸金額4705億27.3 中小企業疫後振興融資方案：已核准24929件，核貸金額2096億27.4 低碳智慧納管貸款：已核准5275件，核貸金額747億。28. 安度百年缺水危機29. 全民普發現金13000元30. 守住豬瘟31. 口蹄疫區除名32. 建立""農民退休儲金制度""33. 建立""國民法官""陪審制度34. 婚姻平權35. 失業率22年最低36. 最低工資由20008調至27470元37. 全民減稅，105年單身受薪為30.4萬到113年調為44.6萬以下免稅，雙薪家庭89.2萬以下免稅，四口之家146.1萬以下免稅，三代同堂194.45萬以下免稅。38. 擴大長照2.0，由105年54提高至870億39. 少子化對策由107年194提高至1200億40. 教育經費由105年2672提高至3976億41. 中小學班班有冷氣、生生用平板42. 300億租金補貼，由6萬增至28萬戶，已新建8萬戶社會住宅，明後年可完成至12萬戶。43. 0~6歲育兒津貼調高至5000元/月44.1 2024年上路縮短公私立大學學雜費差距：私立大專減免3.5萬元，經濟弱勢加碼減免1.5~2萬元。44.2 補貼大專院校學失住宿費5000~7000元。44.3 高中職全面免學費45. TPASS 生活圈通勤月票吃到飽46.前瞻建設--(經立法院透過後，中央政府要依法行政，不是可以隨便動用，也不可隨便挪作他用。)46.1 完成石門水庫阿姆坪防淤隧道工程、曾文水庫防淤隧道工程、臺南白河水庫淤積改善。46.2 湖水水庫+集集攔河堰供水改善工程興建，可供應雲林43萬噸水。46.3 烏溪鳥嘴潭人工湖，110年已啟動A、B湖供水彰化地區每日9萬噸水，全完成可供水25萬噸。46.4 完成高屏溪伏流水開發工程。46.5 完成桃園新竹備援管線-可每日供應20萬噸自來水給新竹縣市及竹科，克服百年大旱。46.7 完成桃園中莊攔河堰及中莊調整池工程，每日可提供自來水80萬噸。46.8 完成板新地區供水改善，每日提供最大101萬噸水。46.9 改擴建桃園永安、新竹南寮、高雄前鎮、改善及活化高雄興達漁港46.10 花東鐵路雙軌電氣化建設、續建及完成南迴鐵路電氣化、臺鐵電務智慧化提昇。46.11 桃園市鐵路地下化、臺南市鐵路地下化、嘉義鐵路高架化，東港、恆春觀光鐵路、延伸嘉義民雄段民雄車站先期工程。46.12 完成3400所學校班班有冷氣、2000所校園社群化改造，80萬臺平板供教學，完成建設中小學校園數位化教學、學習、智慧網路。46.13 完成87個偏鄉5G基地臺建設。46.14 完成臺中港離岸風電產專區，2023年離岸風電總裝量可達100萬kw，綠能風力+太陽能發電量由2016全年25億度提高到2022年140億度電。46.15 完成活化工業區土地33公頃，提供設廠面積129公頃。46.16 成功招商Micron、Nvidia來臺投資設廠。46.17 興建桃園綠線捷運、108年動工興建新北萬大-中和-樹林線二期、淡海輕軌、新北三鶯線、完成高雄輕軌綠線成圓。46.18 興建淡江大橋與南北兩方連絡道匝道。46.19 中央投入200億推動及補貼各縣市合計119座停車場。46.20 ……(註：民進黨及蔡政府7年半來上上下下皆主動積極、認認真真、戰戰兢兢、在各方面強化建設及壯大臺灣，以上這些所列都有國內外真憑實據，絕不是紅藍白他們只會出一張嘴，到處胡說瞎掰故意帶風向抹黑、誤導所可以輕易抹煞的，個人覺得值得用一張選票給予蔡政府八年的肯定與對民進黨、賴蕭配的持續支援並非過分要求。)"
@user-lp7wy5jf5z,2023-12-30T12:31:19Z,3,賴較清楚描繪出未來要帶領國家努力的方向及方法 主要是因蔡總統已打下基礎，柯也有論述但仍有矛盾之處，侯則太籠統感覺在呼口號 執行上恐窒礙難行
@yifang3055,2023-12-30T11:27:27Z,3,侯市長 柯主席  賴副總的老礦房是違建 新北市府 沒下公文 該拆 侯市長 有重大的  失職  應該罷免侯市長
@hsiehca,2023-12-30T14:00:14Z,2,國民黨為了不要牛蛇馬鬼放棄郭是大錯現在連牛蛇馬鬼都挺候也敗了至少郭比候會講話
@leechongmengdatuk9229,2023-12-30T10:11:49Z,2,觀看三位候選人的內容，對中華民國現況及兩岸，看來賴導還是不減他的風格～幹話王，沒重點。
@monachan6552,2023-12-30T15:54:54Z,1,侯友宜講的話永遠都是文不對題，侯友宜你到底有沒有知識水準
@vn1213,2023-12-30T08:52:25Z,1,哈哈哈哈哈哈侯友宜你真是夠了你要知道口業的力量，胡說八道，你真的不怕業力再現嗎 ？不要遺禍子孫啦。。侯友宜完全不把柯文哲放在眼裡。全力砲轟民進黨。。柯文哲你都胡說八道，趕快說明你的地為什麼會長出遊覽車你打別人都沒有問題，自己的問題都講不清楚
@frankchen1974,2023-12-30T11:26:29Z,1,侯友宜跟柯文哲都在講幹話，還在美化中國，它是我們的敵國。
@user-dz5xg2jk7n,2023-12-30T14:19:16Z,0,沒有炒房＇炒地才是真正跟人民站在一起的人！我覺得為人處事是比較正派清廉！臺灣的土地＇房屋就是被有些有權丶有勢的人，這樣慢慢的被炒上來了？如果再當上總統，握有大權，專鑽法律灰色地帶，就更無法無天了？居住正義呢？土地正義呢？
@cicici1111,2023-12-31T01:35:05Z,0,臺灣政壇郭臺銘的政治方向早知今日何必當初鞥政客早知他不會選到底狠的故事也既使花千億做公益也衹有十多%人支援而己政壇上獨立參選而勝出等零川普也加入共和黨才參選政客衹要他的鐵而非人遠離政治因非你的緣全裸退政治重返國際企業.人生更寫意.。己退選又為他人站臺拜票.中間選民也遠離而支持者更飛光.荒謬與無原則.更成笑柄.。郭臺銘出來全力支援侯為臺灣總統.太荒謬了更太離譜.郭全沒原則?郭支持者可全離去吧郭既然不選並害殘之前力挺他的老虎郭家軍的連署者既然二次虎頭蛇尾及狠來了.那就應該全裸退涉政治.鬥不過政客就別參與.做企業界老闆就行了。臺灣政壇郭臺銘的政治方向早知今日何必當初鞥政客早知他不會選到底狠的故事也既使花千億做公益也衹有十多%人支援而己政壇上獨立參選而勝出等零川普也加入共和黨才參選政客衹要他的鐵而非人遠離政治因非你的緣全裸退政治重返國際企業.人生更寫意.。己退選又為他人站臺拜票.中間選民也遠離而支持者更飛光.荒謬與無原則.更成笑柄.
@markdavid883,2023-12-30T09:59:25Z,0, 中共國，一線城市，跳樓大拍賣，買房屋主還幫忙付房貸，也賣不出去，其他地方更慘，國民黨投共，民眾黨舔共，還幫中共擦屁股，社會住宅政策，民進黨有國際觀，早就發現房屋未來的走向，只能作，不能說，控管社會住宅，絕對正確，臺灣的房屋超過20%空屋率，中共國的空屋30年，也消化不完，選總統，不是選裡長，要有一點程度吧！
@TPP2028KP,2023-12-30T09:57:57Z,0,美國都要與中國都要交流，避免軍事誤判，澳洲，越南左右逢源，票投綠營，兩岸沒交流，擦槍走火，發生誤判，引發戰爭
@user-sdpp,2023-12-30T12:12:49Z,0,一個正常人對上一個騙子跟一個貪官
@user-fj5dm1qi4s,2023-12-30T16:29:47Z,0,當時疫情的時候如果沒有民進黨政府的努力你們看看別個國家死了多少了人民應該知道感思
@user-ys4lj3iy5n,2023-12-30T23:44:21Z,0,疫情距離現在也不遠，記得臺北，新北嚴重，控制無能，候甚至快主張封城，由中央去後才搞定。
@ppeterpapa,2023-12-30T12:49:23Z,0,親中政黨絕不支援 小英總統的外交國防對外政策 讓世界看到臺灣 賴清德要延續小英路線 立委要過半 不然在朝小野大 國會議事杯葛 無法推行政策 潛艦造一半 臺灣變成中國的內政問題 國際社會怎麼支援臺灣過去的努力都白費了 臺灣不能再走回親中路線 要走向國際 維持民主自由
@jensonchen1206,2023-12-31T08:00:16Z,0,總結 賴清德表現最佳。
